user,movie,rating
4169,148,2.9854155
5333,148,2.458104
4387,148,2.3603654
840,148,2.543673
752,148,2.795214
970,463,2.8828468
4169,463,2.5189269
721,463,3.259351
1962,463,2.0153737
934,463,2.3203402
1088,471,3.541637
4186,471,2.8283815
796,471,3.1354315
1500,471,3.8254855
4958,471,3.325444
1243,471,3.5748649
743,471,3.3846362
2168,471,3.8934717
5333,471,3.408491
2127,471,3.1748483
1505,471,3.5431266
1425,471,4.1295257
1491,471,3.2884526
3648,471,2.7585957
1952,471,3.7804768
1242,471,3.7158256
839,471,4.0751543
2880,471,3.3939328
692,471,4.294902
2627,471,3.1514163
1530,471,3.8890076
3285,471,3.6518526
4478,471,3.6384256
5874,471,3.7449424
2841,471,3.9417346
3401,471,3.1294
4809,471,3.6376755
2926,471,3.1764596
1211,471,3.704845
1698,471,3.9272003
2271,471,3.750804
721,471,3.0028
1386,471,4.0382576
698,471,3.9093091
5938,471,3.9716728
981,471,3.3819578
2436,471,3.804156
2333,471,3.4685204
3821,471,2.9866946
3430,471,3.0404556
5172,471,3.0770633
1447,471,3.8615234
3462,471,3.5114417
1897,471,3.4981809
2453,471,3.343352
1079,471,3.363346
752,471,3.3439243
1383,471,3.2039976
1842,471,4.1416907
1228,471,3.5205545
1448,471,3.4687216
1983,471,4.116123
1202,471,3.3900979
3312,471,3.3721914
1584,471,3.3501136
2282,471,4.127955
4602,471,3.2261295
934,471,3.161161
5565,471,3.8495514
4607,471,3.8077173
1291,496,3.5453236
1952,496,3.4438102
3080,496,3.7407897
1635,496,4.0235934
1698,496,3.8360753
5394,496,3.4944255
864,496,3.1485608
4169,833,1.9283884
2015,833,2.6836042
3792,833,2.3047333
2168,833,3.3891556
1425,833,2.2271876
1516,833,2.3649197
770,833,2.2739658
1779,833,2.0215108
2077,833,2.3263113
1647,833,2.0402293
1447,833,2.2163818
2116,833,2.5054154
5394,833,2.2655728
1088,1088,3.207702
5156,1088,2.8696196
3475,1088,3.4447181
4186,1088,2.215583
4126,1088,3.5334535
1561,1088,3.0411935
4517,1088,2.7358334
5447,1088,3.8740675
1752,1088,3.0711641
1889,1088,2.7008793
1875,1088,2.8926163
3679,1088,3.2637527
2127,1088,2.676746
727,1088,3.3438156
855,1088,2.8816812
5787,1088,2.9893646
1505,1088,3.0634367
2638,1088,2.8688207
1266,1088,3.672809
777,1088,2.6831427
4312,1088,2.8977447
5539,1088,2.7219012
5001,1088,3.2567527
692,1088,3.6419864
5492,1088,3.5345364
2232,1088,3.3377972
1029,1088,2.9356432
1930,1088,3.0143363
5488,1088,2.7205586
2909,1088,3.7149491
2810,1088,3.9440198
2847,1088,2.052947
1194,1088,3.4026196
3401,1088,2.8972275
1164,1088,2.9911525
4940,1088,3.6064916
721,1088,3.8540027
2832,1088,2.5795147
1998,1088,2.9876182
2188,1088,2.7847977
2077,1088,3.007674
5063,1088,3.4568036
869,1088,3.6171472
1724,1088,3.6527286
2350,1088,3.468085
1611,1088,3.1226428
3014,1088,3.1749458
1447,1088,3.3760328
3462,1088,2.9499736
5996,1088,3.7864301
1421,1088,2.5709271
3842,1088,3.1192775
1912,1088,2.0563216
2453,1088,3.5053658
2125,1088,3.464026
2116,1088,3.7429705
5723,1088,2.9350615
678,1088,3.6072
3507,1088,2.771804
752,1088,2.1316915
5458,1088,2.6697967
1579,1088,2.773856
